run,iteration,uc_set,uc_feedback,online_score,shot1,shot2,shot3,median3,mean3,cv3
短预算2,15,601.0,605.006105006105,36.48415,36.7457,43.6831,36.2226,36.7457,38.8838,10.710211042894295
短预算2,17,613.0,617.2161172161173,36.6537,33.5105,37.3917,35.9157,35.9157,35.60596666666667,5.502029081724716
短预算2,6,625.0,629.4261294261295,36.0209,35.8489,36.1929,32.3042,35.8489,34.782000000000004,6.1891784652763215
短预算2,29,631.0,635.5311355311355,33.538,37.7023,32.9347,34.1413,34.1413,34.9261,7.09726317146869
短预算2,2,638.0,642.8571428571429,32.1084,32.9559,32.1935,32.0233,32.1935,32.390899999999995,1.5332995822287443
短预算2,24,647.0,651.4041514041514,33.2823,33.3906,32.7493,33.174,33.174,33.10463333333333,0.9854475250485013
短预算2,8,656.0,660.5616605616606,32.96025,32.9574,32.9631,32.8672,32.9574,32.929233333333336,0.16337454864801546
短预算2,30,662.0,666.6666666666666,33.51625,33.194,33.8385,38.5126,33.8385,35.1817,8.250277389059514
短预算2,7,668.0,672.7716727716728,33.23609999999999,33.2056,33.2666,32.633,33.2056,33.035066666666665,1.058067165388709
短预算2,27,674.0,678.8766788766789,34.132999999999996,34.0847,34.409,34.1813,34.1813,34.224999999999994,0.48650965007799063
短预算2,18,680.0,684.3711843711844,34.4519,34.3374,34.5664,33.9734,34.3374,34.2924,0.8720595905103625
短预算2,11,693.0,697.8021978021978,34.06895,34.6921,34.1385,33.9994,34.1385,34.27666666666667,1.0690557734175103
短预算2,10,706.0,710.6227106227107,34.549350000000004,34.6167,35.1351,34.482,34.6167,34.7446,0.9924540002951607
短预算2,26,713.0,717.3382173382173,35.399,35.425,35.7054,35.373,35.425,35.501133333333335,0.5036475734166106
短预算2,13,721.0,725.2747252747253,35.2726,35.3638,35.2531,35.2921,35.2921,35.303,0.1590493054624309
短预算2,28,728.0,732.6007326007326,36.4277,36.5566,36.2988,35.1909,36.2988,36.015433333333334,2.0147133997685134
短预算2,1,735.0,739.3162393162393,35.92855,35.7572,35.3788,36.0999,35.7572,35.74529999999999,1.0090760332866209
短预算2,16,750.0,754.5787545787546,35.062,34.9622,35.6,35.1618,35.1618,35.24133333333334,0.9257695740450669
长预算1,4,504.0,507.93650793650795,34.6939,35.359,34.5328,34.855,34.855,34.915600000000005,1.1926483191102326
长预算1,19,516.0,520.1465201465202,33.4023,33.9132,30.4359,32.8914,32.8914,32.4135,5.513848041785773
长预算1,12,527.0,531.1355311355311,32.948350000000005,29.315,33.4814,32.4153,32.4153,31.737233333333336,6.819695999456737
长预算1,54,530.0,534.1880341880342,29.649,29.5295,33.9302,29.7685,29.7685,31.076066666666666,7.96316664816873
长预算1,52,531.0,534.7985347985348,29.6483,29.7633,29.5333,29.0307,29.5333,29.44243333333333,1.272508662835451
长预算1,43,532.0,536.0195360195361,34.02975,30.4411,33.0199,35.0396,33.0199,32.83353333333333,7.019980992946882
